Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
75,[0.62905188110583],[0.7848675034867504],[0.5881170787963814],[0.7913769123783032]
76,[0.6492372980676435],[0.7723152022315202],[0.5704408627060424],[0.8011126564673157]
77,[0.6388565329328242],[0.7806834030683403],[0.5927950844313737],[0.7872044506258693]
78,[0.6429008849827648],[0.7810320781032078],[0.572434372049711],[0.8066759388038943]
79,[0.6484898539932868],[0.7733612273361228],[0.5710341016838382],[0.8025034770514604]
80,[0.6488344808170153],[0.7740585774058577],[0.5842881307150957],[0.8025034770514604]
81,[0.6550782803378511],[0.7688284518828452],[0.5903735817805119],[0.7983310152990264]
82,[0.6465389154944958],[0.7796373779637378],[0.5709367447502921],[0.8025034770514604]
83,[0.625094387820575],[0.7817294281729428],[0.5556127070054225],[0.8164116828929068]
84,[0.6164648884094244],[0.7869595536959554],[0.5604349493317213],[0.8094575799721836]
85,[0.6348518583731338],[0.7785913528591353],[0.5621080044579274],[0.8164116828929068]
86,[0.6313502498417884],[0.7778940027894002],[0.5744015535907055],[0.7969401947148818]
87,[0.6252350752323741],[0.7859135285913529],[0.593577754514108],[0.7941585535465925]
88,[0.6362133982956326],[0.7771966527196653],[0.5700290314594131],[0.8122392211404729]
89,[0.6270456026455016],[0.7838214783821479],[0.5770882659479043],[0.7983310152990264]
90,[0.6276012507775173],[0.7841701534170153],[0.567770101554868],[0.8164116828929068]
91,[0.6256261782167347],[0.7827754532775453],[0.5685419591560815],[0.8025034770514604]
92,[0.6264782760765097],[0.7730125523012552],[0.56505786207853],[0.8066759388038943]
93,[0.6328592468338864],[0.7827754532775453],[0.5659695092345146],[0.8066759388038943]
94,[0.6430092268575351],[0.7824267782426778],[0.5859869893054803],[0.7941585535465925]
95,[0.6081269360985218],[0.7859135285913529],[0.5659461178103143],[0.803894297635605]
96,[0.6294165419069128],[0.7789400278940027],[0.574108160172119],[0.803894297635605]
97,[0.6118616910659119],[0.7880055788005579],[0.5640300564125947],[0.803894297635605]
98,[0.6183616739270411],[0.7834728033472803],[0.5661305596997576],[0.8122392211404729]
99,[0.6251375031770523],[0.7831241283124128],[0.5689556572964526],[0.7983310152990264]
100,[0.6046741546613568],[0.7953277545327755],[0.5537293094918857],[0.8122392211404729]
