Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
75,[0.8214816566070785],[0.7004076086956522],[0.6986392345149925],[0.7440890125173852]
76,[0.827039738442155],[0.7008605072463768],[0.6834201627878552],[0.7538247566063978]
77,[0.8278667748082376],[0.6970108695652174],[0.7027460052340352],[0.7510431154381085]
78,[0.8292688733317714],[0.699615036231884],[0.7034071124312941],[0.7385257301808067]
79,[0.826757233319939],[0.6957653985507246],[0.6996397203629803],[0.7440890125173852]
80,[0.8150733121927234],[0.7112771739130435],[0.7035922642709151],[0.7426981919332406]
81,[0.8318665018440157],[0.6950860507246377],[0.6987653048877425],[0.7385257301808067]
82,[0.8397681007998578],[0.6972373188405797],[0.7090929958021193],[0.7371349095966621]
83,[0.8204378546148107],[0.7004076086956522],[0.6885100317929815],[0.7538247566063978]
84,[0.8435028331975142],[0.6915760869565217],[0.7121751369786694],[0.7440890125173852]
85,[0.8252143575877383],[0.7010869565217391],[0.7006202253081703],[0.7496522948539638]
86,[0.8270871082077855],[0.6972373188405797],[0.7082801326922813],[0.7343532684283728]
87,[0.8223084983402404],[0.7034646739130435],[0.7081979251206336],[0.7329624478442281]
88,[0.8165525589138269],[0.7047101449275363],[0.6854415989386355],[0.7482614742698191]
89,[0.8386032580249552],[0.6958786231884058],[0.6991996247015676],[0.7357440890125174]
90,[0.8311981894615768],[0.697463768115942],[0.6894455337391775],[0.7454798331015299]
91,[0.8224261396065138],[0.7035778985507246],[0.680043614955207],[0.7566063977746871]
92,[0.8117021719614664],[0.7061820652173914],[0.6861040248161231],[0.7538247566063978]
93,[0.8135973287449367],[0.704483695652174],[0.684717221369498],[0.7468706536856745]
94,[0.8182909625271956],[0.7042572463768116],[0.7022808507520069],[0.7538247566063978]
95,[0.8209706774872282],[0.7057291666666666],[0.6920464403606091],[0.7566063977746871]
96,[0.8300647955873738],[0.7019927536231884],[0.6929157433075434],[0.7538247566063978]
97,[0.8235587703630977],[0.6956521739130435],[0.6866265261786704],[0.7482614742698191]
98,[0.8445288385602011],[0.6968976449275363],[0.6730264026946252],[0.7552155771905424]
99,[0.8207387256341568],[0.7018795289855072],[0.6815051277257471],[0.7468706536856745]
100,[0.833761559151437],[0.6949728260869565],[0.6834172584914365],[0.7454798331015299]
