Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,[1.598452993925067],[0.3761322463768116],[1.3004382596725548],[0.6203059805285118]
2,[1.3116430398346721],[0.5677083333333334],[1.0826443108796078],[0.6884561891515995]
3,[1.1753660203969998],[0.618546195652174],[0.9635896409171347],[0.7121001390820584]
4,[1.0881101239634596],[0.6435688405797102],[0.9110152524104537],[0.721835883171071]
5,[1.0361593192902163],[0.6529664855072463],[0.8527243303987346],[0.7273991655076495]
6,[0.9941415039525516],[0.6661005434782609],[0.8229365184675171],[0.7204450625869263]
7,[0.9595786109566689],[0.6739130434782609],[0.7978239916627695],[0.7301808066759388]
8,[0.9406980893210225],[0.683990036231884],[0.7662968507894057],[0.7357440890125174]
9,[0.912794313353041],[0.6936141304347826],[0.745335155219793],[0.7454798331015299]
10,[0.8945190705143024],[0.6957653985507246],[0.7642699608550781],[0.7343532684283728]
11,[0.8930049255166365],[0.6923686594202898],[0.73398707879601],[0.7538247566063978]
12,[0.8757748018032399],[0.6973505434782609],[0.700793408717499],[0.7510431154381085]
13,[0.8535824901275877],[0.7094655797101449],[0.7026200837899979],[0.760778859527121]
14,[0.8528527175818664],[0.7041440217391305],[0.707385114071598],[0.7593880389429764]
15,[0.8493295472277247],[0.7002943840579711],[0.6802293699706214],[0.7538247566063978]
16,[0.8345853538400885],[0.7149003623188406],[0.6788863145094753],[0.7621696801112656]
17,[0.834385999734851],[0.7068614130434783],[0.6739102457760107],[0.7705146036161336]
18,[0.8153589779808037],[0.716598731884058],[0.6678015818101806],[0.7691237830319889]
19,[0.8078100540391777],[0.7199954710144928],[0.6483584106051374],[0.7732962447844228]
20,[0.8005358416425146],[0.7204483695652174],[0.6520793141178031],[0.7691237830319889]
21,[0.8057296015862105],[0.7153532608695652],[0.6340371121202955],[0.7788595271210014]
22,[0.7973433965142223],[0.7192028985507246],[0.6405851696728002],[0.7830319888734353]
23,[0.7930520380428736],[0.720108695652174],[0.630953445471046],[0.7830319888734353]
24,[0.7733842353134052],[0.7309782608695652],[0.6442997737454771],[0.7788595271210014]
25,[0.7778609087285788],[0.7241847826086957],[0.6511551420280765],[0.760778859527121]
26,[0.7754050263244173],[0.7263360507246377],[0.6489713729173981],[0.7677329624478443]
27,[0.7723674885928631],[0.7276947463768116],[0.6292823100040287],[0.7774687065368567]
28,[0.7722560997134533],[0.7306385869565217],[0.6230291213544917],[0.7830319888734353]
29,[0.7645538282999094],[0.7324501811594203],[0.6256855388841642],[0.7732962447844228]
30,[0.7619180375359197],[0.7323369565217391],[0.6256737866554207],[0.7830319888734353]
31,[0.7623897012377131],[0.730072463768116],[0.6251678452703983],[0.7788595271210014]
32,[0.7397181843070016],[0.7413949275362319],[0.5947919751573173],[0.7913769123783032]
33,[0.7483386868691962],[0.7342617753623188],[0.6074230791133037],[0.799721835883171]
34,[0.7441451187798942],[0.7370923913043478],[0.602439506660748],[0.7858136300417247]
35,[0.7379992254402327],[0.7430932971014492],[0.6353021341172644],[0.7691237830319889]
36,[0.7423041402969671],[0.7346014492753623],[0.6311137966386797],[0.7649513212795549]
37,[0.7448123390583888],[0.7351675724637681],[0.6169791781189379],[0.7816411682892906]
38,[0.7475395064423049],[0.7344882246376812],[0.6198443222858312],[0.7788595271210014]
39,[0.7494092679218106],[0.7327898550724637],[0.6154652467523397],[0.7746870653685675]
40,[0.7316656789701917],[0.7362998188405797],[0.6253866872469142],[0.780250347705146]
41,[0.724793151533906],[0.7455842391304348],[0.6072403404328024],[0.7927677329624478]
42,[0.7494853686919247],[0.730865036231884],[0.6050711505436267],[0.7760778859527121]
43,[0.7287151398866073],[0.7438858695652174],[0.6120473306434376],[0.7760778859527121]
44,[0.7339003693474375],[0.7434329710144928],[0.6128021462902075],[0.7844228094575799]
45,[0.7277578868079877],[0.7415081521739131],[0.5992636518949261],[0.7927677329624478]
46,[0.7272623795746029],[0.7411684782608695],[0.5922794164221874],[0.7885952712100139]
47,[0.7132037782474704],[0.7484148550724637],[0.6077038897758399],[0.7830319888734353]
48,[0.7187978459549123],[0.7451313405797102],[0.6000509919476941],[0.7830319888734353]
49,[0.7142578141790801],[0.7444519927536232],[0.5870444603025996],[0.7941585535465925]
50,[0.7110899007892695],[0.745697463768116],[0.5971923814529504],[0.7858136300417247]
51,[0.7114859210948149],[0.7463768115942029],[0.6183953624275695],[0.7830319888734353]
52,[0.7164372758318981],[0.7430932971014492],[0.5961374407103065],[0.7941585535465925]
53,[0.7084337058814539],[0.7481884057971014],[0.6037209099456564],[0.7746870653685675]
54,[0.7092223785061768],[0.7494338768115942],[0.5779409686282215],[0.7913769123783032]
55,[0.7079857767870029],[0.7496603260869565],[0.6128698925647019],[0.7816411682892906]
56,[0.7079614174106846],[0.7514719202898551],[0.6202249608633416],[0.7774687065368567]
57,[0.7108150531632312],[0.7429800724637681],[0.6140498424438509],[0.7774687065368567]
58,[0.7103121562226526],[0.7454710144927537],[0.6262135164130878],[0.7691237830319889]
59,[0.6975729379910922],[0.747848731884058],[0.5941700541591777],[0.7872044506258693]
60,[0.6959489047041406],[0.7538496376811594],[0.6034128378263269],[0.7816411682892906]
61,[0.6980736901632686],[0.7524909420289855],[0.6064113744939982],[0.7830319888734353]
62,[0.6979628472548464],[0.7493206521739131],[0.5877402646360875],[0.7899860917941586]
63,[0.7004810830281265],[0.7490942028985508],[0.6399759082369745],[0.7621696801112656]
64,[0.7100443160566299],[0.7458106884057971],[0.6200875418574157],[0.7816411682892906]
65,[0.7051957212658464],[0.7483016304347826],[0.5921858956982927],[0.7885952712100139]
66,[0.6985822173132412],[0.7460371376811594],[0.596280738856431],[0.7899860917941586]
67,[0.6878367696173381],[0.7550951086956522],[0.5961204244132168],[0.7872044506258693]
68,[0.7027595569582089],[0.7498867753623188],[0.589386011736781],[0.7872044506258693]
69,[0.6898995551780083],[0.7530570652173914],[0.5941169696739552],[0.7816411682892906]
70,[0.6850690756371056],[0.7592844202898551],[0.5900679506744894],[0.7927677329624478]
71,[0.6922877707883067],[0.7505661231884058],[0.5975973198244734],[0.7760778859527121]
72,[0.6920739313236614],[0.7506793478260869],[0.5872465443379027],[0.780250347705146]
73,[0.6961493167378332],[0.7523777173913043],[0.5663273641645328],[0.7955493741307371]
74,[0.7021151499795741],[0.7468297101449275],[0.573588730894309],[0.7858136300417247]
75,[0.6920982522323079],[0.7572463768115942],[0.595794469159568],[0.7899860917941586]
76,[0.6939737022840891],[0.7468297101449275],[0.5984393681538122],[0.7941585535465925]
77,[0.6814340932591669],[0.7552083333333334],[0.5877497519090543],[0.7927677329624478]
78,[0.6884507825733095],[0.751358695652174],[0.585189706800047],[0.7816411682892906]
79,[0.6788624860346317],[0.759963768115942],[0.5858130883606817],[0.7913769123783032]
80,[0.7003839230569808],[0.7485280797101449],[0.5998745309460976],[0.7899860917941586]
81,[0.682337282900361],[0.7530570652173914],[0.6119717756630814],[0.7830319888734353]
82,[0.6808586155698784],[0.7563405797101449],[0.6008856278301445],[0.7830319888734353]
83,[0.6900994309588618],[0.7582653985507246],[0.5556352981605848],[0.803894297635605]
84,[0.6809805244531321],[0.7572463768115942],[0.6159351841962387],[0.7774687065368567]
85,[0.6935900919463324],[0.7498867753623188],[0.5921511482214231],[0.7788595271210014]
86,[0.6930098838672258],[0.7490942028985508],[0.5955055904819504],[0.7872044506258693]
87,[0.6742580826731696],[0.7576992753623188],[0.5868401531549754],[0.7927677329624478]
88,[0.6773176806560461],[0.7614356884057971],[0.5724608825418648],[0.7955493741307371]
89,[0.6775624417578396],[0.7606431159420289],[0.5815602341182374],[0.7913769123783032]
90,[0.6786438110351994],[0.756453804347826],[0.5964075993430465],[0.7830319888734353]
91,[0.6820120596043442],[0.7509057971014492],[0.5831998087600475],[0.7941585535465925]
92,[0.6720308455760065],[0.7557744565217391],[0.6042988238148961],[0.7858136300417247]
93,[0.6748524256374525],[0.753509963768116],[0.5713278718385975],[0.7955493741307371]
94,[0.6719913721570502],[0.7614356884057971],[0.5848082032505428],[0.7899860917941586]
95,[0.6713426316129989],[0.7584918478260869],[0.6197239208619353],[0.7760778859527121]
96,[0.6724601785881795],[0.7607563405797102],[0.6153835645968792],[0.7732962447844228]
97,[0.6871723971073178],[0.7557744565217391],[0.5919559838377219],[0.7788595271210014]
98,[0.6734518070799717],[0.7660778985507246],[0.5638862811391642],[0.8066759388038943]
99,[0.67078672721982],[0.7632472826086957],[0.5894447660413007],[0.7927677329624478]
100,[0.6722994561482599],[0.7562273550724637],[0.5943766167913259],[0.7844228094575799]
